Location,Price,Beds,Area
"PWD Housing Society - Block C, PWD Housing Scheme",4 Crore,5,10 Marla
"DHA Phase 3 - Block B, DHA Defence Phase 3",11.95 Crore,6,1.5 Kanal
"Bahria Enclave - Sector C, Bahria Enclave",9.5 Crore,5,1 Kanal
"Bahria Enclave - Sector C1, Bahria Enclave",6 Crore,5,10 Marla
"I-11, Islamabad",3.9 Crore,5,5 Marla
"DHA Defence Phase 2, DHA Defence",9.7 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.5 Crore,6,1 Kanal
"G-15, Islamabad",5.5 Crore,5,14.2 Marla
"G-15, Islamabad",3.5 Crore,4,8 Marla
"G-15, Islamabad",3.45 Crore,6,8 Marla
"G-15, Islamabad",5.25 Crore,3,14.2 Marla
"F-10/4, F-10",15.5 Crore,7,1 Kanal
"Bahria Enclave - Sector C1, Bahria Enclave",5.25 Crore,5,10 Marla
"D-12/4, D-12",4 Crore,4,4 Marla
"D-12/4, D-12",4.3 Crore,4,4.4 Marla
"D-12/1, D-12",5.25 Crore,3,4 Marla
"D-12/1, D-12",4.4 Crore,3,4 Marla
"D-12/1, D-12",5.25 Crore,4,5 Marla
"D-12/3, D-12",5.2 Crore,5,4.4 Marla
"D-12/4, D-12",12.5 Crore,5,14 Marla
"I-10, Islamabad",4.1 Crore,5,6 Marla
"I-10, Islamabad",3.15 Crore,5,6 Marla
"Bahria Enclave - Sector B1, Bahria Enclave",2.6 Crore,3,5 Marla
"DHA Defence Phase 2, DHA Defence",3.8 Crore,4,5 Marla
"DHA Defence Phase 2, DHA Defence",6 Crore,4,10 Marla
"DHA Phase 2 - Sector E, DHA Defence Phase 2",15 Crore,5,1 Kanal
"Jinnah Gardens Phase 1, Jinnah Gardens",3.25 Crore,5,7 Marla
"Faisal Town Phase 1 - Block A, Faisal Town Phase 1",3.1 Crore,4,8 Marla
"I-14/2, I-14",2.6 Crore,4,5 Marla
"Bani Gala, Islamabad",1.15 Crore,2,5 Marla
"Bani Gala, Islamabad",2.25 Crore,4,5 Marla
"Bani Gala, Islamabad",3.2 Crore,4,8 Marla
"Bani Gala, Islamabad",1.25 Crore,2,5 Marla
"Bahria Enclave - Sector B1, Bahria Enclave",2.75 Crore,3,5 Marla
"Bahria Enclave, Bahria Town",2.45 Crore,3,6 Marla
"Bahria Enclave, Bahria Town",2.55 Crore,3,5 Marla
"G-14, Islamabad",12 Crore,6,14 Marla
"DHA Defence Phase 5, DHA Defence",3.3 Crore,4,5 Marla
"G-13, Islamabad",10.5 Crore,9,10.9 Marla
"Bahria Enclave, Bahria Town",2 Crore,3,5 Marla
"B-17, Islamabad",5.25 Crore,5,10 Marla
"B-17, Islamabad",4.9 Crore,7,10 Marla
"DHA Phase 2 - Sector H, DHA Defence Phase 2",9 Crore,6,1 Kanal
"I-8/2, I-8",12 Crore,9,12.5 Marla
"G-15, Islamabad",6 Crore,6,1.2 Kanal
"G-13, Islamabad",10.5 Crore,6,10 Marla
"I-11/2, I-11",4.7 Crore,8,6 Marla
"G-13, Islamabad",8.8 Crore,6,10 Marla
"Park View - Block H, Park View City",5.75 Crore,5,10 Marla
"Bahria Enclave - Sector I, Bahria Enclave",2.15 Crore,4,5 Marla
"G-14, Islamabad",7 Crore,6,9.3 Marla
"Faisal Margalla City, B-17",2.25 Crore,3,5 Marla
"Faisal Margalla City, B-17",2.35 Crore,4,5 Marla
"E-11, Islamabad",7 Crore,4,8 Marla
"E-11, Islamabad",7 Crore,4,8 Marla
"G-13/2, G-13",6.25 Crore,6,8 Marla
"Bani Gala, Islamabad",1.6 Crore,4,5 Marla
"F-7, Islamabad",30.5 Crore,5,1.3 Kanal
"Bahria Enclave - Sector B1, Bahria Enclave",2.55 Crore,3,5 Marla
"F-6, Islamabad",42 Crore,6,2 Kanal
"F-8, Islamabad",26 Crore,5,1.2 Kanal
"F-8, Islamabad",23 Crore,5,17.8 Marla
"F-8, Islamabad",35 Crore,5,1.6 Kanal
"F-8, Islamabad",68 Crore,7,1.8 Kanal
"G-13, Islamabad",8.2 Crore,6,10 Marla
"Bahria Enclave - Sector A, Bahria Enclave",5.8 Crore,5,10 Marla
"Bahria Enclave - Sector A, Bahria Enclave",5.25 Crore,7,10 Marla
"Bahria Enclave - Sector A, Bahria Enclave",7.7 Crore,5,12 Marla
"I-11/1, I-11",4.15 Crore,5,6.7 Marla
"I-10/2, I-10",3.28 Crore,4,6.7 Marla
"I-10/2, I-10",5.96 Crore,6,8 Marla
"Bahria Enclave - Sector M, Bahria Enclave",4.65 Crore,5,10.9 Marla
"F-7, Islamabad",30 Crore,5,1 Kanal
"F-7, Islamabad",65 Crore,6,2.1 Kanal
"F-7, Islamabad",82 Crore,6,3.8 Kanal
"F-7, Islamabad",25.25 Crore,4,1.2 Kanal
"E-16, Islamabad",2.85 Crore,6,10 Marla
"F-7, Islamabad",31 Crore,7,1 Kanal
"F-7, Islamabad",1.18 Arab,10,4 Kanal
"F-11, Islamabad",15 Crore,6,1 Kanal
"F-10, Islamabad",24 Crore,5,1.2 Kanal
"F-10, Islamabad",18 Crore,6,1 Kanal
"F-6, Islamabad",1.2 Arab,11,4 Kanal
"F-7, Islamabad",28 Crore,5,1 Kanal
"F-6, Islamabad",1.48 Arab,7,5 Kanal
"F-6, Islamabad",75 Crore,6,2.4 Kanal
"F-6, Islamabad",42 Crore,6,2 Kanal
"F-6/3, F-6",90 Crore,7,2 Kanal
"F-11, Islamabad",20 Crore,6,1.3 Kanal
"E-11, Islamabad",4.2 Crore,4,7 Marla
"E-11/3, E-11",16 Crore,9,1 Kanal
"DHA Defence Phase 2, DHA Defence",11 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.5 Crore,6,1 Kanal
"Bahria Enclave, Bahria Town",3.25 Crore,5,8 Marla
"Bahria Enclave, Bahria Town",6.98 Crore,9,1 Kanal
"Gulshan-e-Sehat 1 - Hamza Block, Gulshan-e-Sehat 1",1.65 Crore,4,7 Marla
"Bahria Garden City - Zone 1, Bahria Garden City",15 Crore,6,2 Kanal
"Bahria Garden City - Zone 1, Bahria Garden City",18 Crore,7,2 Kanal
"Bahria Garden City - Zone 1, Bahria Garden City",15 Crore,6,1.6 Kanal
"I-8/3, I-8",12.5 Crore,5,14.2 Marla
"Bahria Garden City - Zone 1, Bahria Garden City",16 Crore,7,2 Kanal
"Pakistan Town, Islamabad",1.7 Crore,2,4.5 Marla
"Bahria Enclave - Sector N, Bahria Enclave",3.25 Crore,5,8 Marla
"Bahria Enclave - Sector M, Bahria Enclave",7 Crore,9,1 Kanal
"Soan Garden, Islamabad",3.25 Crore,6,6.7 Marla
"Soan Garden, Islamabad",7 Crore,7,1 Kanal
"Soan Garden, Islamabad",4.25 Crore,7,10 Marla
"Soan Garden, Islamabad",6 Crore,7,1 Kanal
"Soan Garden, Islamabad",5 Crore,7,12 Marla
"Soan Garden, Islamabad",6.8 Crore,7,1 Kanal
"DHA Defence Phase 2, DHA Defence",25 Crore,7,2 Kanal
"DHA Defence Phase 2, DHA Defence",8 Crore,7,1 Kanal
"DHA Defence Phase 2, DHA Defence",15 Crore,5,1.4 Kanal
"Bahria Town, Islamabad",4.35 Crore,5,10 Marla
"D-12, Islamabad",9.75 Crore,4,8 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",2.9 Crore,4,8 Marla
"G-13, Islamabad",6.2 Crore,6,7 Marla
"G-14/4, G-14",3.6 Crore,4,4 Marla
"DHA Defence Phase 2, DHA Defence",12.8 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",18.35 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.5 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",7.1 Crore,5,12 Marla
"DHA Defence Phase 2, DHA Defence",16 Crore,8,1.5 Kanal
"DHA Defence Phase 2, DHA Defence",12 Crore,5,1 Kanal
"D-12, Islamabad",3.95 Crore,3,4 Marla
"I-10/2, I-10",4 Crore,4,6 Marla
"DHA Defence Phase 1, DHA Defence",8.45 Crore,6,1.1 Kanal
"DHA Defence Phase 1, DHA Defence",7.95 Crore,6,1 Kanal
"DHA Phase 3 - Block B, DHA Defence Phase 3",8.9 Crore,7,1.5 Kanal
"Faisal Margalla City, B-17",1.9 Crore,4,5 Marla
"Bani Gala, Islamabad",1.3 Crore,2,5.2 Marla
"I-10/4, I-10",4 Crore,4,6 Marla
"I-10/4, I-10",3.7 Crore,4,6 Marla
"I-8/3, I-8",13.25 Crore,7,140 Kanal
"G-13, Islamabad",10 Crore,8,14 Marla
"G-13, Islamabad",8.9 Crore,7,10 Marla
"G-13, Islamabad",10.7 Crore,7,14 Marla
"G-13, Islamabad",8.75 Crore,7,10 Marla
"G-13, Islamabad",9.2 Crore,7,10 Marla
"G-13/1, G-13",8.5 Crore,6,10 Marla
"I-8/2, I-8",15 Crore,7,14.2 Marla
"DHA Defence Phase 2, DHA Defence",6.25 Crore,4,10 Marla
"F-7/4, F-7",30 Crore,8,2 Kanal
"G-13/2, G-13",6.6 Crore,5,8 Marla
"F-11/1, F-11",16 Crore,7,1 Kanal
"Pakistan Town, Islamabad",2.48 Crore,4,5 Marla
"PWD Housing Scheme, Islamabad",3.95 Crore,4,10 Marla
"Pakistan Town - Phase 2, Pakistan Town",2.1 Crore,4,5 Marla
"Bahria Enclave - Sector N, Bahria Enclave",3.25 Crore,5,8 Marla
"DHA Defence Phase 2, DHA Defence",14.5 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",11.5 Crore,6,1 Kanal
"Faisal Town - F-18, Islamabad",2.6 Crore,5,5 Marla
"Faisal Town Phase 1 - Block C, Faisal Town Phase 1",2.2 Crore,6,5 Marla
"I-10, Islamabad",2.9 Crore,4,6 Marla
"I-9, Islamabad",4.6 Crore,3,8 Marla
"I-10/2, I-10",4.7 Crore,5,6 Marla
"I-10/1, I-10",2.2 Crore,4,4 Marla
"I-10/1, I-10",2.7 Crore,4,5.1 Marla
"I-10/1, I-10",3 Crore,3,6 Marla
"I-10/1, I-10",2.8 Crore,4,5.1 Marla
"Bahria Enclave - Sector M, Bahria Enclave",4.2 Crore,5,10 Marla
"DHA Phase 1 - Sector E, DHA Defence Phase 1",9 Crore,8,1 Kanal
"Soan Garden - Block F, Soan Garden",5.25 Crore,5,1 Kanal
"F-6, Islamabad",40 Crore,5,19.5 Marla
"G-13, Islamabad",8.9 Crore,6,10 Marla
"Luxus Mall and Residency, Gulberg Greens - Block B",2.3 Crore,3,6.6 Marla
"G-14, Islamabad",3.75 Crore,4,4 Marla
"Bahria Enclave - Sector C1, Bahria Enclave",6.5 Crore,7,10 Marla
"F-7/1, F-7",40 Crore,6,1.3 Kanal
"Faisal Margalla City, B-17",2.05 Crore,3,5 Marla
"DHA Defence Phase 2, DHA Defence",11 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",14.5 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",16.5 Crore,8,1 Kanal
"DHA Defence Phase 5, DHA Defence",22 Crore,6,1.7 Kanal
"F-7, Islamabad",43 Crore,8,1.3 Kanal
"G-15/4, G-15",3.4 Crore,5,7 Marla
"DHA Defence Phase 2, DHA Defence",10.5 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",19.8 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",10.8 Crore,5,1 Kanal
"G-13/2, G-13",7.6 Crore,6,10.9 Marla
"DHA Phase 2 - Sector J, DHA Defence Phase 2",4.15 Crore,5,5 Marla
"DHA Phase 2 - Sector J, DHA Defence Phase 2",6.5 Crore,5,10 Marla
"F-7, Islamabad",23 Crore,5,1.1 Kanal
"F-6/3, F-6",1.5 Arab,5,5 Kanal
"F-11, Islamabad",30 Crore,9,1.3 Kanal
"F-11/4, F-11",27 Crore,8,2 Kanal
"G-14/4, G-14",12 Crore,8,14 Marla
"Prince Road, Bhara kahu",2.8 Crore,7,9 Marla
"G-14/3, G-14",9.8 Crore,8,14.2 Marla
"G-13, Islamabad",5.5 Crore,5,7 Marla
"Naval Anchorage - Block D, Naval Anchorage",5.25 Crore,3,1 Kanal
"F-10/4, F-10",29 Crore,6,2 Kanal
"DHA Defence Phase 2, DHA Defence",26 Crore,6,1.6 Kanal
"DHA Defence Phase 5, DHA Defence",22 Crore,6,1.7 Kanal
"DHA Defence Phase 2, DHA Defence",12.5 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",15 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",16.5 Crore,8,1 Kanal
"DHA Defence Phase 2, DHA Defence",7.1 Crore,5,10 Marla
"G-13/1, G-13",8.25 Crore,4,10 Marla
"F-17, Islamabad",2.65 Crore,4,7 Marla
"Top City 1, Islamabad",4 Crore,5,10 Marla
"Emaar Canyon Views, Islamabad",12.3 Crore,7,2 Kanal
"Emaar Canyon Views, Islamabad",4.45 Crore,3,14 Marla
"Emaar Canyon Views, Islamabad",7.75 Crore,5,1.4 Kanal
"F-8, Islamabad",26.5 Crore,5,1 Kanal
"F-8, Islamabad",26 Crore,5,1.2 Kanal
"F-8, Islamabad",30 Crore,5,1.3 Kanal
"F-8, Islamabad",23 Crore,4,17.8 Marla
"F-8, Islamabad",35 Crore,5,1.6 Kanal
"F-8, Islamabad",78 Crore,6,3.6 Kanal
"F-8, Islamabad",68 Crore,7,1.8 Kanal
"F-7, Islamabad",50 Crore,4,2.5 Kanal
"F-7, Islamabad",25.25 Crore,4,1.2 Kanal
"F-7, Islamabad",31 Crore,7,1 Kanal
"F-7, Islamabad",1.18 Arab,10,4 Kanal
"F-7, Islamabad",40 Crore,5,1.9 Kanal
"F-7, Islamabad",27.5 Crore,5,1 Kanal
"F-6, Islamabad",75 Crore,6,2.4 Kanal
"F-6, Islamabad",33 Crore,5,1.6 Kanal
"F-6, Islamabad",26 Crore,4,1.1 Kanal
"F-6/3, F-6",75 Crore,6,2.2 Kanal
"F-6, Islamabad",20.5 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",6.3 Crore,5,10 Marla
"F-6/3, F-6",52 Crore,8,1.7 Kanal
"F-11, Islamabad",16 Crore,11,1.3 Kanal
"F-6/3, F-6",1.3 Arab,6,4 Kanal
"F-6/3, F-6",1.75 Arab,8,3.8 Kanal
"F-11/2, F-11",25.5 Crore,6,1.3 Kanal
"F-6, Islamabad",32 Crore,5,2.3 Kanal
"Bahria Enclave - Sector C1, Bahria Enclave",5.5 Crore,5,10 Marla
"DHA Defence Phase 2, DHA Defence",11.35 Crore,5,1 Kanal
"G-7, Islamabad",3.6 Crore,4,5 Marla
"B-17, Islamabad",2.1 Crore,4,5 Marla
"D-12, Islamabad",8.6 Crore,4,8 Marla
"CBR Town Phase 1 - Block C, CBR Town Phase 1",4.25 Crore,4,13 Marla
"E-11/4, E-11",4.5 Crore,4,6 Marla
"G-15, Islamabad",3 Crore,5,8 Marla
"DHA Phase 2 - Sector G, DHA Defence Phase 2",7.5 Crore,6,1 Kanal
"G-14/4, G-14",3.6 Crore,5,4.4 Marla
"Soan Garden - Block D, Soan Garden",6 Crore,6,1 Kanal
"G-11/3, G-11",3.5 Crore,3,4 Marla
"G-13, Islamabad",9.2 Crore,6,10.9 Marla
"E-11/2, E-11",7.5 Crore,5,8 Marla
"DHA Defence Phase 2, DHA Defence",7.5 Crore,6,1 Kanal
"Zamar Valley, Kashmir Highway",60 Lakh,3,4 Marla
"Bahria Enclave - Sector N, Bahria Enclave",4 Crore,5,8 Marla
"Bahria Enclave, Bahria Town",2.8 Crore,3,5 Marla
"Bahria Enclave - Sector A, Bahria Enclave",6.2 Crore,5,10 Marla
"Bahria Enclave - Sector C, Bahria Enclave",11 Crore,6,1 Kanal
"Bahria Enclave - Sector A, Bahria Enclave",6 Crore,5,10 Marla
"D-12/4, D-12",15.2 Crore,5,14.2 Marla
"D-12/4, D-12",4.6 Crore,4,5 Marla
"G-10/3, G-10",7.7 Crore,5,9 Marla
"G-13/2, G-13",6.5 Crore,5,8 Marla
"DHA Phase 2 - Sector A, DHA Defence Phase 2",12 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.5 Crore,6,1 Kanal
"Faisal Town Phase 1 - Block A, Faisal Town Phase 1",3.2 Crore,4,8 Marla
"Faisal Town Phase 1 - Block A, Faisal Town Phase 1",2.99 Crore,4,8 Marla
"Bahria Enclave - Sector A, Bahria Enclave",7.8 Crore,5,10 Marla
"Bahria Enclave - Sector M, Bahria Enclave",4.5 Crore,4,10 Marla
"Bahria Enclave - Sector C, Bahria Enclave",10.5 Crore,6,1 Kanal
"Bahria Enclave - Sector J, Bahria Enclave",5 Crore,5,10 Marla
"G-15, Islamabad",5.2 Crore,7,1 Kanal
"I-8/1, I-8",12 Crore,6,14 Marla
"Rawalpindi Housing Society, C-18",1.35 Crore,4,5 Marla
"Top City 1, Islamabad",4.5 Crore,4,10 Marla
"F-8, Islamabad",30 Crore,5,2.2 Marla
"F-8, Islamabad",24 Crore,5,1 Kanal
"F-7, Islamabad",36.5 Crore,5,1.3 Kanal
"F-7/2, F-7",60 Crore,4,2.1 Kanal
"Bahria Enclave - Sector C1, Bahria Enclave",5 Crore,5,10 Marla
"Bahria Enclave - Sector M, Bahria Enclave",4.45 Crore,5,10 Marla
"Bahria Enclave - Sector A, Bahria Enclave",5.15 Crore,5,11 Marla
"Bahria Enclave - Sector A, Bahria Enclave",5.2 Crore,5,10 Marla
"DHA Defence Phase 2, DHA Defence",6.9 Crore,5,12 Marla
"E-11/2, E-11",14.5 Crore,9,1 Kanal
"G-9, Islamabad",8.5 Crore,4,10.9 Marla
"E-11/1, E-11",5.5 Crore,6,8 Marla
"Bahria Enclave - Sector B1, Bahria Enclave",2.8 Crore,3,5 Marla
"MPCHS - Block F, MPCHS - Multi Gardens",1.9 Crore,4,5 Marla
"Top City 1, Islamabad",6.7 Crore,9,1 Kanal
"D-17, Islamabad",3.15 Crore,6,10.9 Marla
"D-17, Islamabad",3.6 Crore,6,9.3 Marla
"D-17, Islamabad",4.2 Crore,6,10.7 Marla
"D-17, Islamabad",1.2 Crore,4,4 Marla
"F-11, Islamabad",22 Crore,6,1.3 Kanal
"G-14/3, G-14",9 Crore,7,12 Marla
"G-11/2, G-11",4 Crore,3,4.4 Marla
"G-13, Islamabad",8.85 Crore,6,10 Marla
"G-13, Islamabad",6.35 Crore,6,8 Marla
"G-13, Islamabad",5.6 Crore,6,7 Marla
"Bahria Enclave - Sector N, Bahria Enclave",2.5 Crore,3,5 Marla
"G-13, Islamabad",8.5 Crore,6,10 Marla
"G-13, Islamabad",8.5 Crore,6,10 Marla
"G-13, Islamabad",8.5 Crore,6,10 Marla
"G-13, Islamabad",6.3 Crore,5,7 Marla
"G-13, Islamabad",8.9 Crore,6,10 Marla
"G-13, Islamabad",9 Crore,6,10 Marla
"G-13, Islamabad",9 Crore,6,10 Marla
"G-13, Islamabad",9 Crore,6,10 Marla
"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",4.8 Crore,4,11 Marla
"DHA Phase 1 - Sector B, DHA Defence Phase 1",7.6 Crore,8,1 Kanal
"G-13/2, G-13",6.25 Crore,6,8 Marla
"DHA Phase 5 - Sector A, DHA Defence Phase 5",10.6 Crore,6,1 Kanal
"E-16/3, E-16",2.95 Crore,7,10 Marla
"G-14/4, G-14",7.35 Crore,6,9 Marla
"Khanna Pul, Islamabad",55 Lakh,2,2.5 Marla
"DHA Defence Phase 2, DHA Defence",12.88 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.47 Crore,5,1 Kanal
"Bahria Enclave - Sector M, Bahria Enclave",4.15 Crore,5,10 Marla
"G-13, Islamabad",8.35 Crore,6,10 Marla
"Bahria Enclave, Bahria Town",6.25 Crore,4,1 Kanal
"G-13, Islamabad",6.5 Crore,5,8 Marla
"DHA Defence Phase 2, DHA Defence",10.8 Crore,6,1 Kanal
"DHA Phase 2 - Sector A, DHA Defence Phase 2",9 Crore,9,1 Kanal
"DHA Phase 2 - Sector G, DHA Defence Phase 2",6.65 Crore,4,10 Marla
"F-7, Islamabad",30 Crore,5,1 Kanal
"F-6, Islamabad",19 Crore,4,14.4 Marla
"Ghauri Town Phase 4A, Ghauri Town",1.85 Crore,4,6 Marla
"DHA Phase 2 - Sector D, DHA Defence Phase 2",9 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",16.5 Crore,8,1 Kanal
"Bahria Garden City - Zone 4, Bahria Garden City",22.5 Crore,6,3 Kanal
"F-7, Islamabad",27 Crore,4,1 Kanal
"DHA Defence Phase 2, DHA Defence",6.8 Crore,5,14 Marla
"DHA Defence Phase 2, DHA Defence",12.5 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.35 Crore,6,1 Kanal
"H-13, Islamabad",1.45 Crore,3,4 Marla
"DHA Phase 2 - Sector D, DHA Defence Phase 2",10.45 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.5 Crore,6,1 Kanal
"CBR Town Phase 1, CBR Town",6.5 Crore,7,12 Marla
"DHA Phase 2 - Sector E, DHA Defence Phase 2",9 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",7.85 Crore,8,1 Kanal
"G-13/1, G-13",11.5 Crore,6,14 Marla
"G-11, Islamabad",3.15 Crore,2,4 Marla
"Bahria Enclave - Sector H, Bahria Enclave",2.5 Crore,3,6 Marla
"DHA Defence Phase 2, DHA Defence",7.25 Crore,4,10 Marla
"Bahria Enclave - Sector C, Bahria Enclave",8.5 Crore,5,1 Kanal
"Main Margalla Road, Islamabad",1.25 Crore,2,5.3 Marla
"Malot, Islamabad",1.9 Crore,2,5 Marla
"I-8/4, I-8",20 Crore,6,1.2 Kanal
"Top City 1, Islamabad",3.15 Crore,5,10 Marla
"Top City 1, Islamabad",4.25 Crore,5,10 Marla
"Soan Garden - Block H, Soan Garden",2.75 Crore,6,6 Marla
"G-13, Islamabad",8.75 Crore,7,10 Marla
"E-16/3, E-16",3 Crore,6,11 Marla
"D-12/1, D-12",3.95 Crore,4,4 Marla
"F-7, Islamabad",25.25 Crore,4,1.2 Kanal
"F-8, Islamabad",22.5 Crore,6,1 Kanal
"Top City 1 - Block A, Top City 1",4.4 Crore,6,10 Marla
"Bani Gala, Islamabad",1.3 Crore,2,6.5 Marla
"Bani Gala, Islamabad",7 Crore,8,1.2 Kanal
"Bani Gala, Islamabad",11 Crore,8,1.8 Kanal
"Bani Gala, Islamabad",1.25 Crore,2,5 Marla
"Bhara kahu, Islamabad",4.5 Crore,5,1.8 Kanal
"DHA Phase 1 - Sector F, DHA Defence Phase 1",16 Crore,6,1.5 Kanal
"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",4.35 Crore,4,10 Marla
"G-13, Islamabad",9.25 Crore,7,10.9 Marla
"I-14/1, I-14",2.8 Crore,4,6 Marla
"Mumtaz City, Islamabad",2.7 Crore,5,6.7 Marla
"Park View - Block H, Park View City",2.55 Crore,5,5 Marla
"Top City 1 - Block A, Top City 1",4.7 Crore,5,10 Marla
"E-11, Islamabad",13.5 Crore,6,1 Kanal
"Bahria Enclave - Sector C1, Bahria Enclave",4.85 Crore,5,10 Marla
"DHA Defence Phase 2, DHA Defence",9.28 Crore,6,1 Kanal
"G-13, Islamabad",9 Crore,6,10 Marla
"Zaraj Housing Scheme, Islamabad",4.8 Crore,5,10 Marla
"I-8/3, I-8",15 Crore,5,12.4 Marla
"I-8/3, I-8",21 Crore,6,12.4 Marla
"Gulberg Greens, Gulberg",3.95 Crore,6,10 Marla
"G-13/1, G-13",3.45 Crore,4,4.4 Marla
"G-11, Islamabad",5.1 Crore,4,5.6 Marla
"G-13/3, G-13",7.95 Crore,7,10.9 Marla
"Naval Anchorage, Islamabad",2.7 Crore,4,5 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",2.5 Crore,3,8 Marla
"Soan Garden, Islamabad",4.7 Crore,6,12.4 Marla
"PWD Housing Society - Block C, PWD Housing Scheme",4.25 Crore,4,9.3 Marla
"Pakistan Town - Phase 2, Pakistan Town",4 Crore,6,10.9 Marla
"Pakistan Town - Phase 2, Pakistan Town",4.1 Crore,6,10.9 Marla
"Soan Garden, Islamabad",5 Crore,6,12.4 Marla
"Soan Garden, Islamabad",6.75 Crore,6,1 Kanal
"Soan Garden - Block H, Soan Garden",4 Crore,6,10 Marla
"Soan Garden - Block H, Soan Garden",4.1 Crore,6,10.1 Marla
"PWD Housing Society - Block C, PWD Housing Scheme",4.3 Crore,4,9.3 Marla
"CBR Town Phase 1 - Block C, CBR Town Phase 1",3.6 Crore,4,8 Marla
"PWD Housing Society - Block C, PWD Housing Scheme",4.4 Crore,4,10 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",2.5 Crore,3,8 Marla
"Soan Garden - Block H, Soan Garden",4.25 Crore,6,10 Marla
"Jinnah Gardens, FECHS",3 Crore,4,8 Marla
"G-11, Islamabad",4.2 Crore,4,5 Marla
"DHA Defence Phase 2, DHA Defence",10.5 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",16.85 Crore,8,1.5 Kanal
"DHA Defence Phase 2, DHA Defence",12.75 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",8.35 Crore,6,1 Kanal
"Jinnah Gardens Phase 1, Jinnah Gardens",2.85 Crore,5,8 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",3.2 Crore,5,8 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",3.4 Crore,6,8 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",3.8 Crore,8,8 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",4.6 Crore,6,14 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",3.25 Crore,5,8 Marla
"Jinnah Gardens Phase 1, Jinnah Gardens",3.1 Crore,5,8 Marla
"Bani Gala, Islamabad",3.8 Crore,4,10 Marla
"Gulberg Residencia - Block T, Gulberg Residencia",3 Crore,4,7 Marla
"D-12, Islamabad",5.5 Crore,4,5 Marla
"F-8, Islamabad",33 Crore,5,1.8 Kanal
"G-13, Islamabad",4 Crore,5,4.5 Marla
"I-14, Islamabad",2.2 Crore,5,5 Marla
"Bahria Enclave - Sector A, Bahria Enclave",5.3 Crore,7,10 Marla
"Eighteen, Kashmir Highway",5.55 Crore,5,10 Marla
"Bahria Enclave - Sector N, Bahria Enclave",3.3 Crore,5,5 Marla
"Eighteen, Kashmir Highway",5.55 Crore,5,10 Marla
"Bahria Enclave - Sector H, Bahria Enclave",2.4 Crore,3,5 Marla
"Eighteen, Kashmir Highway",6.45 Crore,5,16 Marla
"Bahria Enclave - Sector N, Bahria Enclave",2.15 Crore,3,5 Marla
"Eighteen, Kashmir Highway",6.1 Crore,5,13 Marla
"Bahria Enclave - Sector N, Bahria Enclave",2.25 Crore,3,5 Marla
"Eighteen, Kashmir Highway",5.8 Crore,5,12 Marla
"Bahria Enclave - Sector G, Bahria Enclave",3.5 Crore,5,8 Marla
"G-13, Islamabad",5.15 Crore,6,4 Marla
"G-7/4, G-7",38 Crore,8,1.5 Kanal
"DHA Defence Phase 2, DHA Defence",7 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",14 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",14.5 Crore,6,1 Kanal
"Bani Gala, Islamabad",2.1 Crore,4,5 Marla
"Bani Gala, Islamabad",1.95 Crore,2,8 Marla
"Bani Gala, Islamabad",1.5 Crore,5,5 Marla
"Bani Gala, Islamabad",8.5 Crore,7,1.1 Kanal
"Bani Gala, Islamabad",7.5 Crore,9,1 Kanal
"Bani Gala, Islamabad",1.65 Crore,4,5 Marla
"DHA Defence, Islamabad",7.9 Crore,10,1 Kanal
