Location,Price,Beds,Area
"G-11/2, G-11",4.4 Crore,3,5.6 Marla
"Bahria Enclave - Sector A, Bahria Enclave",4.85 Crore,5,10 Marla
"Bahria Enclave - Sector H, Bahria Enclave",2.45 Crore,3,5 Marla
"Bahria Enclave, Bahria Town",10.5 Crore,5,1 Kanal
"I-14, Islamabad",4.25 Crore,5,8 Marla
"Top City 1, Islamabad",5.95 Crore,7,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.45 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",12.75 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.95 Crore,6,1 Kanal
"F-10, Islamabad",18 Crore,5,1 Kanal
"Top City 1 - Block A, Top City 1",4.6 Crore,5,10 Marla
"Top City 1 - Block A, Top City 1",4.5 Crore,5,10 Marla
"Bahria Enclave - Sector M, Bahria Enclave",4 Crore,5,10 Marla
"Bahria Enclave - Sector A, Bahria Enclave",5.25 Crore,7,10 Marla
"PECHS, Islamabad",1.85 Crore,7,7 Marla
"Lilly Sector - Block A, DHA Valley - Lilly Sector",1.5 Crore,3,8 Marla
"DHA Defence Phase 2, DHA Defence",6.5 Crore,5,10 Marla
"G-16, Islamabad",3.8 Crore,5,7 Marla
"Soan Garden - Block H, Soan Garden",3.5 Crore,6,10 Marla
"Top City 1 - Block D, Top City 1",4 Crore,4,10.1 Marla
"Top City 1 - Block B, Top City 1",7 Crore,8,1 Kanal
"MPCHS - Multi Gardens, B-17",4.25 Crore,4,10 Marla
"G-10, Islamabad",14.35 Crore,6,14.2 Marla
"Soan Garden - Block H, Soan Garden",3.05 Crore,5,6 Marla
"Soan Garden - Block H, Soan Garden",2.95 Crore,5,6 Marla
"Bahria Enclave - Sector H, Bahria Enclave",2.7 Crore,3,5 Marla
"G-13, Islamabad",6.75 Crore,5,8 Marla
"E-7, Islamabad",70 Crore,7,1.7 Kanal
"F-7/1, F-7",45 Crore,6,1.3 Kanal
"F-7/1, F-7",27.5 Crore,5,1 Kanal
"E-7, Islamabad",57 Crore,6,2.1 Kanal
"DHA Defence Phase 2, DHA Defence",13 Crore,5,1 Kanal
"DHA Defence Phase 2, DHA Defence",11.9 Crore,6,1 Kanal
"DHA Defence Phase 2, DHA Defence",9.5 Crore,8,1 Kanal
"G-15/1, G-15",3.8 Crore,5,8 Marla
"G-15/3, G-15",8.5 Crore,10,14.2 Marla
"DHA Defence Phase 2, DHA Defence",13 Crore,5,1 Kanal
